1	1	5	11	13	46	51	55	61	63	96												
2	2	12	33	37	39	41	44	50	52	62	83	87	89	91	94	100						
3	3	10	20	22	24	26	35	36	41	43	47	53	60	70	72	74	76	85	86	91	93	97
4	4	25	31	38	42	45	50	54	75	81	88	92	95	100								
5	1	5	11	13	46	51	55	61	63	96												
6	6	9	21	32	40	56	59	71	82	90												
7	7	16	17	22	48	57	66	67	72	98												
8	8	10	23	28	34	58	60	73	78	84												
9	6	9	21	32	40	56	59	71	82	90												
10	3	8	10	22	23	26	28	34	41	53	58	60	72	73	76	78	84	91				
11	1	5	11	13	46	51	55	61	63	96												
12	2	12	22	26	33	37	39	41	44	52	62	72	76	83	87	89	91	94				
13	1	5	11	13	46	51	55	61	63	96												
14	14	15	19	29	30	49	64	65	69	79	80	99										
15	14	15	19	29	30	49	64	65	69	79	80	99										
16	7	16	17	22	48	57	66	67	72	98												
17	7	16	17	22	48	57	66	67	72	98												
18	18	26	27	68	76	77																
19	14	15	19	29	30	49	64	65	69	79	80	99										
20	3	20	24	35	36	43	47	53	70	74	85	86	93	97								
21	6	9	21	23	24	32	40	43	56	59	71	73	74	82	90	93						
22	3	7	10	12	16	17	22	26	48	53	57	60	62	66	67	72	76	98				
23	8	10	21	23	24	28	34	43	58	60	71	73	74	78	84	93						
24	3	20	21	23	24	35	36	43	47	53	70	71	73	74	85	86	93	97				
25	4	25	30	31	38	42	45	50	54	75	80	81	88	92	95	100						
26	3	10	12	18	22	26	27	53	60	62	68	72	76	77								
27	18	26	27	46	68	76	77	96														
28	8	10	23	28	34	38	45	58	60	73	78	84	88	95								
29	14	15	19	29	30	49	64	65	69	79	80	99										
30	14	15	19	25	29	30	49	64	65	69	75	79	80	99								
31	4	25	31	38	42	45	50	54	75	81	88	92	95	100								
32	6	9	21	32	40	56	59	71	82	90												
33	2	12	33	34	37	39	41	43	44	52	62	83	87	89	91	93	94					
34	8	10	23	28	33	34	43	58	60	73	78	83	84	93								
35	3	20	24	35	36	43	47	53	70	74	85	86	93	97								
36	3	20	24	35	36	43	47	53	70	74	85	86	93	97								
37	2	12	33	37	39	41	44	52	62	83	87	89	91	94								
38	4	25	28	31	38	42	45	50	54	75	78	81	84	88	92	95	100					
39	2	12	33	37	39	41	44	52	62	83	87	89	91	94								
40	6	9	21	32	40	56	59	71	82	90												
41	2	3	10	12	33	37	39	41	44	52	53	60	62	83	87	89	91	94				
42	4	25	31	38	42	45	50	54	75	81	88	92	95	100								
43	3	20	21	23	24	33	34	35	36	43	47	53	70	71	73	74	83	85	86	93	97	
44	2	12	33	37	39	41	44	52	62	83	87	89	91	94								
45	4	25	28	31	38	42	45	50	54	75	78	81	84	88	92	95	100					
46	1	5	11	13	27	46	51	55	61	63	77	96										
47	3	20	24	35	36	43	47	53	70	74	85	86	93	97								
48	7	16	17	22	48	57	66	67	72	98												
49	14	15	19	29	30	49	64	65	69	79	80	99										
50	2	4	25	31	38	42	45	50	52	54	75	81	88	92	95	100						
51	1	5	11	13	46	51	55	61	63	96												
52	2	12	33	37	39	41	44	50	52	62	83	87	89	91	94	100						
53	3	10	20	22	24	26	35	36	41	43	47	53	60	70	72	74	76	85	86	91	93	97
54	4	25	31	38	42	45	50	54	75	81	88	92	95	100								
55	1	5	11	13	46	51	55	61	63	96												
56	6	9	21	32	40	56	59	71	82	90												
