1	6	9	18	21	26	27	32	40	56	59	68	71	76	77	82	90														
2	3	4	20	24	25	31	35	36	42	43	45	47	50	53	54	70	74	75	81	85	86	92	93	95	97	100				
3	2	8	10	23	28	34	39	41	44	52	58	60	73	78	84	89	91	94												
4	2	8	10	12	23	28	33	34	37	39	41	44	50	52	58	60	62	73	78	83	84	87	89	91	94	100				
5	6	9	18	21	26	27	32	40	56	59	68	71	76	77	82	90														
6	1	5	7	16	17	22	30	48	51	55	57	66	67	72	80	98														
7	6	9	14	15	19	23	29	30	40	49	56	59	64	65	69	73	79	80	90	99										
8	3	4	14	20	24	29	31	35	36	42	43	47	49	53	54	64	70	74	79	81	85	86	92	93	97	99				
9	1	5	7	16	17	22	30	48	51	55	57	66	67	72	80	98														
10	3	4	14	20	24	29	31	36	42	49	53	54	64	70	74	79	81	86	92	99										
11	18	21	26	27	32	40	68	71	76	77	82	90																		
12	4	24	25	31	35	38	42	43	45	50	54	74	75	81	85	88	92	93	95	100										
13	18	21	26	27	32	40	68	71	76	77	82	90																		
14	7	8	10	16	17	21	23	28	34	57	58	60	66	67	71	73	78	84												
15	7	16	17	21	57	66	67	71																						
16	6	9	14	15	19	23	29	30	40	49	56	59	64	65	69	73	79	80	90	99										
17	6	9	14	15	19	23	29	30	40	49	56	59	64	65	69	73	79	80	90	99										
18	1	5	11	13	46	51	55	61	63	96																				
19	7	16	17	21	22	48	57	66	67	71	72	98																		
20	2	8	10	23	28	34	39	41	44	52	58	60	73	78	84	89	91	94												
21	1	5	11	13	14	15	19	22	29	30	46	49	51	55	61	63	64	65	69	72	79	80	96	99						
22	6	9	19	21	23	30	32	40	56	59	69	71	73	80	82	90														
23	3	4	7	14	16	17	20	22	24	29	31	36	42	48	49	53	54	57	64	66	67	70	72	74	79	81	86	92	98	99
24	2	8	10	12	23	28	33	34	37	39	41	44	52	58	60	62	73	78	83	84	87	89	91	94						
25	2	12	33	37	39	41	44	50	52	62	83	87	89	91	94	100														
26	1	5	11	13	46	51	55	61	63	96																				
27	1	5	11	13	46	51	55	61	63	96																				
28	3	4	14	20	24	29	31	35	36	42	43	47	49	53	54	64	70	74	79	81	85	86	92	93	97	99				
29	7	8	10	16	17	21	23	28	34	57	58	60	66	67	71	73	78	84												
30	6	7	9	16	17	21	22	32	40	48	56	57	59	66	67	71	72	82	90	98										
31	2	8	10	12	23	28	33	34	37	39	41	44	50	52	58	60	62	73	78	83	84	87	89	91	94	100				
32	1	5	11	13	22	30	46	51	55	61	63	72	80	96																
33	4	24	25	31	35	38	42	43	45	50	54	74	75	81	85	88	92	93	95	100										
34	3	4	14	20	24	29	31	35	36	42	43	47	49	53	54	64	70	74	79	81	85	86	92	93	97	99				
